A Happier Life,Kristy Woodson Harvey,Contemporary Fiction,"[['0'], ['0']]",Bowen/Townsend,['Marine biologist'/'Doctor'],['0'],Keaton Smith,"['Marketing coordinator', 'Unemployed', 'Writer']","Rebecca ""Becks"" Saint James",['Homemaker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Man Called Ove,Fredrik Backman,Contemporary Fiction,"[['8311', '2']]",Sonja,['Teacher'],['2330'],Ove,"['Railway Worker', 'Retiree']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Annie,Anna Quindlen,Contemporary Fiction,"[[0], [0], [0]]",None,['None'],,Bill Brown,['Unknown'],Ali Brown,['Unknown'],Annemarie,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Grace Adams,Fran Littlewood,Contemporary Fiction,"[['9', '2655', '2643', '2350']]",Ben Kerr,['Unknown'],['0'],Grace Adams,"['Polyglot Competition Winner', 'TV Show Host', 'Translator', 'Assistant Teacher']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Mermaid,Julia Langbein,Contemporary Fiction,"[['2330', '2641']]",None,['None'],,Penelope Schleeman,"['English Teacher', 'Screenwriter']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxious People,Fredrik Backman,Contemporary Fiction,"[['5412'], ['5412'], ['12'], ['2634'], ['1211']]",None,['None'],,Jim,['Police Officer'],Jack,['Police Officer'],Bank Robber,['Bank robber'],Nadia,['Psychologist'],Zara,['Bank Director'],,,,,,,,,,,,,,,,,,,,,,,,,,
Beartown,Fredrik Backman,Contemporary Fiction,"[['6', '3421'], ['1213', '3421'], ['6', '2652'], ['6', '3421']]",None,['None'],,Kevin Erdahl,"['Student', 'Hockey Player']",Peter Andersson,"['General Manager', 'Former Professional Hockey Player']",Maya Andersson,"['Student', 'Musician']",Amat,"['Student', 'Hockey Player']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Swiss,Jen Beagin,Contemporary Fiction,"[['3213', '4132']]",Flavia (Big Swiss),['Gynecologist'],['2212'],Greta,"['Pharmacy Technician', 'Transcriptionist']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Cake,Charmaine Wilkerson,Contemporary Fiction,"[['2221', '3343'], ['0'], ['2114']]",Gilbert Gibbs,['Lawyer'],['2611'],Covey Lyncook,"['Nurse', 'Secretary']",Benny Bennett,['Unknown'],Byron Bennett,['Oceanographer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Sisters,Coco Mellors,Contemporary Fiction,"[['2611'], ['3421', '5414'], ['5241', '2652']]",Pavel,['Boxing Trainer'],['3422'],Avery,['Lawyer'],Bonnie,"['Boxer', 'Bouncer']",Lucky,"['Model', 'Musician']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightly Shining,Ingvild Rishoi,Contemporary Fiction,"[['6'], ['6', '5211']]",None,['None'],,Ronja,['Student'],Melissa,"['Student', 'Christmas Tree Seller']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie Soto Is Back,Taylor Jenkins Reid,Contemporary Fiction,"[['3421', '3422']]",Bowe Huntley,['Tennis Player'],['3421'],Carrie Soto,"['Tennis Player', 'Coach']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina,Karla Cornejo Villavicencio,Contemporary Fiction,"[['2641', '0']]",Nathaniel Wheeler,['Anthropology Student'],['7'],Catalina Ituralde,"['Aspiring Writer', 'Intern']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra and Frankenstein,Coco Mellors,Contemporary Fiction,"[['2651'], ['2654']]",Frank,['Creative Director'],['2654'],Cleo,['Artist'],Frank,['Creative Director'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come and Get It,Kiley Reid,Contemporary Fiction,[['8']],Agatha Paul,"['Journalist', 'Visiting Professor']","['2642', '2310']",Millie Cousins,['Resident Assistant'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crow Talk,Eileen Garvin,Contemporary Fiction,"[['2131'], ['2652']]",None,['None'],,Frankie O'Neill,['Ornithologist'],Anne Ryan,['Musician'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days at the Morisaki Bookshop,Satoshi Yagisawa,Contemporary Fiction,[['5223']],None,['None'],,Takako,['Bookshop Assistant'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything We Never Knew,Julianne Hough,Contemporary Fiction,[[3334]],None,['None'],,Lexi,['Realtor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Family,Laurie Frankel,Contemporary Fiction,"[['2655', '2641']]",Davis,['Actor'],['2655'],India Allwood,"['Actor', 'Television Actor', 'Film Actor', 'Playwright']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Lore,Elizabeth Acevedo,Contemporary Fiction,"[[0], [0], [0], [0], [5221], [2632]]",Anthony 'Ant' Morales,['Unknown'],[0],Flor Marte,['Unknown'],Matilde Marte,['Unknown'],Pastora Marte,['Unknown'],Camila Marte,['Unknown'],Yadira 'Yadi' Marte de Polanco,['Shop Owner'],Anacaona 'Ona' Marte,['Anthropologist'],,,,,,,,,,,,,,,,,,,,,,,,
Family Meal,Bryan Washington,Contemporary Fiction,"[[0], [0]]",Kai,['Unknown'],[0],Cam,['Unknown'],TJ,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourteen Days,The Authors Guild,Contemporary Fiction,[['2641']],None,['None'],,Ishmael Reed,['Writer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Material,Dolly Alderton,Contemporary Fiction,"[['2655'], ['0']]",Jen,['Unknown'],['0'],Andy,['Comedian'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happiness,Danielle Steel,Contemporary Fiction,[['2641']],Grayson Abbott,['Estate attorney'],['2611'],Sabrina Brooks,['Bestselling Author'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Here One Moment,Liane Moriarty,Contemporary Fiction,"[['2120'], ['2142'], ['2221'], ['2512'], ['5111']]",Jonny Summers,['Pilot'],['3153'],Cherry Lockwood,['Actuary'],Leo Voldik,['Civil Engineer'],Sue O'Sullivan,['Nurse'],Ethan Chang,['Software Engineer'],Allegra,['Flight Attendant'],,,,,,,,,,,,,,,,,,,,,,,,,,
Housemates,Emma Copley Eisenberg,Contemporary Fiction,"[['3431'], ['2641']]",None,['None'],,Bernie,['Photographer'],Leah,['Writer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Read a Book,Monica Wood,Contemporary Fiction,"[['15', '3112'], ['2330','2'], ['7223', '2']]",Misha,['Bird Scientist'],['2131'],Violet,"['Prisoner', 'Lab Assistant']",Harriet,['Retired Schoolteacher'],Frank,"['Retired Machinist', 'Handyman']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interesting Facts about Space,Emily Austin,Contemporary Fiction,[['0']],Unknown,['Unknown'],,Enid,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaving,Roxana Robinson,Contemporary Fiction,"[[0], [0]]",Warren,['Unknown'],[0],Sarah,['Unknown'],Warren,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love After Midnight,Sister Souljah,Contemporary Fiction,"[[0], [0]]",Midnight,['Unknown'],[0],Winter Santiaga,['Unknown'],Midnight,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lula Dean's Little Library of Banned Books,Kirsten Miller,Contemporary Fiction,"[['9'], ['1345'], ['6']]",None,['None'],,Lula Dean,['Homemaker'],Beverly Underwood,['School Board Director'],Lindsey Underwood,['Student'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maame,Jessica George,Contemporary Fiction,"[['3343', '3343']]",Sam,['Unknown'],['0'],Maddie Wright,"['Personal Assistant at a Theater', 'Personal Assistant at Orange Tree Publishing']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margo's Got Money Troubles,Rufi Thorpe,Contemporary Fiction,"[['7', '5169']]",JB,['Machine Learning Specialist'],['2511'],Margo Millet,"['College Student', 'OnlyFans Content Creator']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More Days at the Morisaki Bookshop,Satoshi Yagisawa,Contemporary Fiction,[['1420']],None,['None'],,Takako,['Bookshop Manager'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Road,Kristin Hannah,Contemporary Fiction,"[[1], [3], [1]]",Zach Farraday,['Teenager'],[1],Lexi Baill,['Teenager'],Jude Farraday,['Stay-at-home mom'],Zach Farraday,['Teenager'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Now Is Not the Time to Panic,Kevin Wilson,Contemporary Fiction,[['2641']],Zeke Brown,['Artist'],['2651'],Frances 'Frankie' Budge,"['Writer', 'Novelist']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Enough,Haley Jakobson,Contemporary Fiction,[['7']],Wes,['College student (Sociology)'],['7'],Savannah 'Sav' Henry,['College student (Creative Writing)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Italian Summer,Rebecca Serle,Contemporary Fiction,[['0']],Adam Westbrooke,['Developer'],['2512'],Katy,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Birds,Sarah Addison Allen,Contemporary Fiction,"[['7'], ['5153', '2641'], ['3435'], ['3434']]",Mac,['Chef'],['3434'],Zoey,['Student'],Frasier,"['Building Manager', 'Writer']",Charlotte,['Henna Artist'],Mac,['Chef'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Street,Jenny Jackson,Contemporary Fiction,"[['0'], ['0'], ['9']]",Brady,['Unknown'],['0'],Darley Stockton,['Mother'],Sasha Stockton,['Unknown'],Georgiana Stockton,['Non-profit Worker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Really Good, Actually",Monica Heisey,Contemporary Fiction,[['0']],Jon,['None'],['0'],Maggie,['Graduate Student (Theater)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
